0,7.69811
1,31.07216
2,26.1419
3,0.56444
4,27.45815
5,67.34667
6,23.91844
7,72.61207
8,429.37633
9,357.96097
10,114.21449
11,265.35276
12,391.65861
13,109.51439
14,219.58342
15,55.71781
16,141.05677
17,234.69591
18,946.19232
19,690.65736
20,835.90405
21,323.68282
22,855.5886
23,43.93101
0,6.05946
1,0.27221
2,4.96334
3,114.76342
4,1.21704
5,87.54189
6,51.20001
7,593.44946
8,108.4373
9,212.10251
10,415.16779
11,172.94134
12,216.0287
13,326.05507
14,450.53015
15,165.65511
16,335.70159
17,180.65877
18,231.19208
19,473.93577
20,380.48252
21,423.50081
22,845.59006
23,26.59516
0,0.50156
1,0.27343
2,0.62415
3,0.27259
4,5.16305
5,35.06946
6,140.83713
7,178.11728
8,265.95386
9,77.6659
10,230.75619
11,374.36547
12,610.11733
13,344.84569
14,814.72346
15,393.2623
16,360.39796
17,166.87472
18,427.13973
19,466.80843
20,274.30033
21,618.5001
22,297.12936
23,437.79764
0,42.61989
1,33.7379
2,55.25761
3,0.28708
4,4.9316
5,5.33974
6,125.86899
7,101.6324
8,33.98254
9,609.05288
10,904.51144
11,900.28509
12,511.69029
13,578.11005
14,336.40268
15,435.77656
16,779.99068
17,595.41563
18,218.00981
19,917.52701
20,1190.135
21,252.27509
22,385.14524
23,461.13651
0,342.55202
1,101.74435
2,27.7535
3,4.23395
4,82.48682
5,293.6898
6,204.65211
7,386.70234
8,297.62633
9,499.51454
10,372.20858
11,648.7662
12,708.58073
13,524.64103
14,79.83312
15,133.3007
16,81.45666
17,136.07459
18,144.95858
19,1622.85526
20,773.11325
21,283.96373
22,200.25134
23,303.25495
0,23.21306
1,1.0661
2,0.5258
3,5.48461
4,0.87278
5,69.89309
6,135.99379
7,126.87228
8,476.32512
9,1216.5557
10,685.96211
11,464.70354
12,517.54095
13,510.6786
14,416.34462
15,224.54522
16,382.43961
17,387.50192
18,608.18473
19,1438.45726
20,974.57746
21,156.47356
22,188.29363
23,519.26551
0,478.49659
1,442.33019
2,204.16682
3,22.3909
4,122.61896
5,39.05622
6,276.55105
7,443.32531
8,354.51183
9,185.20343
10,403.99479
11,401.90629
12,154.95596
13,224.00145
14,477.87433
15,486.34515
16,219.75766
17,332.3955
18,632.55792
19,345.36502
20,855.1473
21,649.33421
22,942.87991
23,1362.08239
0,347.43959
1,65.23906
2,34.03688
3,66.70936
4,1.33037
5,445.94523
6,165.61956
7,350.458
8,407.51863
9,958.05429
10,416.01713
11,593.34426
12,778.06124
13,474.85714
14,223.03921
15,336.83618
16,1257.58059
17,518.53581
18,929.89678
19,1010.40052
20,1003.3208
21,144.29306
22,180.29944
23,410.29135
0,91.65763
1,117.16797
2,58.55179
3,66.34119
4,11.91455
5,42.11556
6,144.65095
7,353.75521
8,795.91738
9,310.20533
10,371.97649
11,878.53814
12,513.10798
13,338.8734
14,532.90289
15,440.92242
16,118.79889
17,231.77409
18,710.87746
19,1062.68808
20,1071.85358
21,750.82629
22,375.68804
23,502.53923
0,63.75858
1,253.79849
2,267.03666
3,78.42234
4,2.72159
5,253.68793
6,146.14126
7,186.77649
8,350.08426
9,107.19946
10,257.16727
11,186.77191
12,746.20628
13,458.32061
14,373.66835
15,392.76982
16,520.29558
17,617.07872
18,182.84258
19,505.8384
20,910.1022
21,1005.08708
22,677.88045
23,103.96086
