0,7.6493,
1,30.35733,
2,4.07655,
3,0.94397,
4,2.01246,
5,119.22093,
6,61.90144,
7,5.40397,
8,7.41033,
9,24.30149,
10,0.58508,
11,62.24963,
12,62.41336,
13,395.70844,
14,135.86254,
15,5.32575,
16,23.03239,
17,8.66839,
18,692.1647,
19,920.58766,
20,668.80623,
21,326.03274,
22,337.94088,
23,258.07119,
0,2.40986,
1,0.74043,
2,2.31364,
3,11.10403,
4,0.80538,
5,24.43907,
6,48.55596,
7,18.93324,
8,0.16255,
9,22.61243,
10,94.80759,
11,15.74367,
12,654.02037,
13,448.98709,
14,886.55714,
15,678.13837,
16,36.50585,
17,153.01116,
18,314.10824,
19,962.74338,
20,625.60853,
21,190.41712,
22,173.20315,
23,119.9053,
0,31.71007,
1,2.80347,
2,1.24577,
3,1.78106,
4,0.23536,
5,208.6574,
6,13.78102,
7,26.77559,
8,60.50258,
9,7.36259,
10,17.61401,
11,279.39401,
12,1426.83772,
13,1512.85537,
14,8.03027,
15,159.37804,
16,113.12606,
17,328.77393,
18,283.89672,
19,653.74004,
20,478.34226,
21,367.46843,
22,1047.95238,
23,225.48547,
0,2.98551,
1,2.46433,
2,2.4893,
3,1.20859,
4,0.47792,
5,112.33463,
6,52.29936,
7,3.38552,
8,11.12466,
9,91.93158,
10,63.17611,
11,183.78325,
12,567.40382,
13,632.01049,
14,446.53626,
15,405.25676,
16,74.29188,
17,84.96843,
18,256.34201,
19,395.60314,
20,461.15485,
21,168.16839,
22,545.10616,
23,120.7033,
0,10.63076,
1,22.99304,
2,1.72424,
3,1.52096,
4,2.38282,
5,138.3194,
6,69.08587,
7,3.88864,
8,0.08148,
9,52.39075,
10,124.07606,
11,235.6686,
12,776.07331,
13,586.19285,
14,74.09268,
15,51.80805,
16,107.15714,
17,359.01446,
18,335.64072,
19,511.2873,
20,381.05332,
21,192.37069,
22,427.93364,
23,238.67012,
0,326.71445,
1,68.5764,
2,72.08135,
3,56.60334,
4,44.69665,
5,34.85943,
6,58.58539,
7,3.61334,
8,2.53762,
9,13.31404,
10,138.37082,
11,436.61918,
12,527.875,
13,633.86445,
14,345.47073,
15,15.0205,
16,331.06246,
17,767.85931,
18,935.72531,
19,484.82362,
20,676.39286,
21,516.56953,
22,133.90611,
23,88.278,
0,28.7284,
1,0.2358,
2,0.36582,
3,0.38142,
4,13.60184,
5,41.34921,
6,539.56105,
7,402.78792,
8,326.95306,
9,503.84871,
10,137.54948,
11,764.0829,
12,320.85695,
13,244.34124,
14,39.25354,
15,197.0577,
16,274.22519,
17,374.30505,
18,166.01778,
19,320.81733,
20,517.9496,
21,99.09685,
22,99.47376,
23,73.71645,
0,73.49348,
1,18.45919,
2,1.29028,
3,5.07962,
4,3.69005,
5,21.08034,
6,60.12748,
7,28.39838,
8,36.32744,
9,102.15954,
10,126.91019,
11,1057.61925,
12,41.73912,
13,93.31653,
14,87.91354,
15,26.86959,
16,538.33431,
17,632.81823,
18,548.43069,
19,466.14392,
20,857.07424,
21,468.99877,
22,76.27209,
23,94.3964,
0,82.58179,
1,1.71129,
2,1.64578,
3,1.19394,
4,29.11852,
5,97.21826,
6,31.0542,
7,219.55057,
8,65.76999,
9,12.13875,
10,61.22799,
11,131.76783,
12,133.71783,
13,94.41695,
14,56.65234,
15,4.2512,
16,72.37764,
17,53.45006,
18,585.21929,
19,562.00202,
20,967.71326,
21,1441.81164,
22,389.23782,
23,360.62991,
0,229.47262,
1,99.309,
2,2.22679,
3,5.89687,
4,293.63138,
5,78.85147,
6,59.76047,
7,3.39497,
8,0.07973,
9,5.47976,
10,108.57907,
11,172.33444,
12,297.61691,
13,336.75978,
14,32.22727,
15,443.04258,
16,619.50924,
17,403.44898,
18,430.86941,
19,374.85737,
20,521.10676,
21,25.31171,
22,165.40768,
23,63.40462,
