1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,3760,1880,1880,1880,1880
1880,1880,3760,1880,1880,3760,3760,1880,1880,1880
1880,1880,3760,1880,3760,3760,3760,1880,1880,1880
1880,1880,3760,1880,3760,3760,3760,1880,1880,1880
1880,3760,3760,1880,7520,3760,3760,1880,1880,1880
1880,3760,3760,1880,7520,1880,3760,3760,1880,1880
1880,3760,3760,1880,7520,3760,3760,9400,1880,1880
1880,1880,1880,1880,7520,3760,3760,9400,1880,1880
1880,1880,3760,1880,7520,3760,1880,9400,1880,1880
1880,3760,3760,1880,3760,5640,1880,9400,1880,1880
3760,3760,3760,3760,3760,3760,3760,9400,486,3760
3760,3760,3760,1880,3760,3760,5640,3760,1880,5640
3760,5640,1263,1168,5640,3760,7520,3760,996,5640
3760,5640,1172,1198,5640,1236,7520,1357,3760,7520
1352,5640,944,3760,5640,918,7520,542,5640,7520
3760,7520,693,1880,5640,815,5640,435,5640,7520
1880,5640,1880,1880,3760,1880,5640,1880,3760,5640
1880,3760,1880,1880,1880,1880,3760,1880,3760,3760
1880,3760,3760,1880,1880,1880,1880,1880,1880,1880
1880,1880,3760,1880,1880,1880,1880,1880,1880,1880
1880,1880,3760,1880,1880,1880,1880,1880,1880,1880
1880,1880,3760,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,3760,1880,1880,1880,3760,1880,1880,1880
1880,1880,3760,1880,1880,1880,3760,1880,1880,1880
1880,1880,3760,1880,1880,1880,3760,1880,1880,1880
1880,1880,3760,3760,3760,1880,3760,1880,1880,1880
1880,1880,5640,3760,3760,1880,3760,1880,1880,3760
1880,1880,5640,3760,3760,1880,3760,1880,1880,5640
1880,1880,5640,3760,7520,1880,3760,1880,1880,7520
1880,1880,5640,3760,5640,3760,3760,1880,1880,7520
1880,1880,5640,3760,5640,3760,3760,3760,1880,5640
1880,1880,3760,3760,5640,3760,3760,3760,1880,5640
3760,3760,1880,3760,5640,3760,3760,5640,1880,5640
1374,5640,1880,5640,3760,1098,3760,9400,1129,5640
1546,5640,796,7520,2032,1038,1565,9400,3760,5640
1679,5640,758,5640,1937,896,2129,9400,5640,5640
1517,1943,745,5640,3760,1880,5640,7520,5640,5640
3760,3760,1880,7520,3760,471,3760,5640,5640,3760
1880,1880,1880,5640,1880,1880,3760,3760,5640,1880
1880,1880,1880,3760,1880,1880,1880,1880,3760,1880
1880,1880,1880,3760,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1880,1880,3760,1880,1880,3760,1880,1880,1880,1880
1880,1880,3760,1880,3760,3760,1880,1880,1880,1880
1880,1880,3760,1880,1880,3760,1880,1880,1880,1880
1880,1880,3760,1880,1880,3760,3760,1880,1880,1880
1880,1880,3760,1880,1880,3760,3760,3760,1880,5640
1880,1880,1880,1880,1880,3760,3760,3760,1880,9400
1880,1880,1880,1880,1880,3760,5640,3760,1880,9400
1880,1880,3760,1880,1880,3760,5640,1880,1880,9400
1880,1880,1880,1880,1880,3760,5640,1880,3760,9400
1880,1880,1880,1880,1880,3760,5640,1880,3760,5640
1880,1880,1880,3760,3760,3760,5640,1880,3760,3760
1880,3760,3760,3760,3760,3760,3760,1880,3760,3760
926,5640,3760,5640,3760,5640,3760,703,3760,5640
1202,7520,1246,5640,3760,5640,5640,1256,1742,5640
1240,7520,1250,5640,1263,3760,5640,1356,3760,7520
1186,7520,1148,5640,958,3760,5640,1180,3760,7520
3760,3760,1880,5640,1880,3760,3760,3760,3760,5640
1880,1880,1880,5640,1880,1880,3760,1880,3760,5640
